Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps),
20/10/2020 17:36:10.013,25988,TAI_400 @B73477,22405,FEFF0B000400,-0.2,1.1,0.4,
20/10/2020 17:36:10.062,26037,TAI_400 @B73477,22411,FDFF07000400,-0.3,0.7,0.4,
20/10/2020 17:36:10.159,26134,TAI_400 @B73477,22417,F9FF0D000400,-0.7,1.3,0.4,
20/10/2020 17:36:10.208,26183,TAI_400 @B73477,22423,FEFF0B000400,-0.2,1.1,0.4,
20/10/2020 17:36:10.256,26231,TAI_400 @B73477,22430,FAFF07000400,-0.6,0.7,0.4,
20/10/2020 17:36:10.305,26280,TAI_400 @B73477,22436,FAFF0E000400,-0.6,1.4,0.4,
20/10/2020 17:36:10.354,26329,TAI_400 @B73477,22442,FFFF09000400,-0.1,0.9,0.4,
20/10/2020 17:36:10.403,26378,TAI_400 @B73477,22448,F9FF08000400,-0.7,0.8,0.4,
20/10/2020 17:36:10.451,26426,TAI_400 @B73477,22455,FCFF0E000400,-0.4,1.4,0.4,
20/10/2020 17:36:10.501,26476,TAI_400 @B73477,22461,FEFF07000400,-0.2,0.7,0.4,
20/10/2020 17:36:10.549,26524,TAI_400 @B73477,22467,F9FF09000300,-0.7,0.9,0.3,
20/10/2020 17:36:10.597,26572,TAI_400 @B73477,22473,FDFF0C000400,-0.3,1.2,0.4,
20/10/2020 17:36:10.646,26621,TAI_400 @B73477,22480,FDFF06000400,-0.3,0.6,0.4,
20/10/2020 17:36:10.695,26670,TAI_400 @B73477,22486,F9FF0B000400,-0.7,1.1,0.4,
20/10/2020 17:36:10.744,26719,TAI_400 @B73477,22492,FFFF0B000400,-0.1,1.1,0.4,
20/10/2020 17:36:10.793,26768,TAI_400 @B73477,22498,FCFF07000400,-0.4,0.7,0.4,
20/10/2020 17:36:10.841,26816,TAI_400 @B73477,22505,F9FF0D000400,-0.7,1.3,0.4,
20/10/2020 17:36:10.890,26865,TAI_400 @B73477,22511,FFFF0A000400,-0.1,1.0,0.4,
20/10/2020 17:36:10.939,26914,TAI_400 @B73477,22517,F9FF08000400,-0.7,0.8,0.4,
20/10/2020 17:36:10.987,26962,TAI_400 @B73477,22523,FCFF0E000400,-0.4,1.4,0.4,
20/10/2020 17:36:11.037,27012,TAI_400 @B73477,22530,FFFF08000400,-0.1,0.8,0.4,
20/10/2020 17:36:11.085,27060,TAI_400 @B73477,22536,F9FF09000400,-0.7,0.9,0.4,
20/10/2020 17:36:11.135,27110,TAI_400 @B73477,22542,FDFF0D000400,-0.3,1.3,0.4,
20/10/2020 17:36:11.184,27159,TAI_400 @B73477,22548,FDFF07000400,-0.3,0.7,0.4,
20/10/2020 17:36:11.231,27206,TAI_400 @B73477,22555,F9FF0B000400,-0.7,1.1,0.4,
20/10/2020 17:36:11.329,27304,TAI_400 @B73477,22561,FFFF0B000400,-0.1,1.1,0.4,
20/10/2020 17:36:11.378,27353,TAI_400 @B73477,22567,FCFF07000300,-0.4,0.7,0.3,
20/10/2020 17:36:11.426,27401,TAI_400 @B73477,22573,F9FF0C000400,-0.7,1.2,0.4,
20/10/2020 17:36:11.475,27450,TAI_400 @B73477,22580,FFFF0A000400,-0.1,1.0,0.4,
20/10/2020 17:36:11.524,27499,TAI_400 @B73477,22586,F9FF08000300,-0.7,0.8,0.3,
20/10/2020 17:36:11.573,27548,TAI_400 @B73477,22592,FBFF0E000400,-0.5,1.4,0.4,
20/10/2020 17:36:11.622,27597,TAI_400 @B73477,22598,FEFF09000400,-0.2,0.9,0.4,
20/10/2020 17:36:11.671,27646,TAI_400 @B73477,22605,F9FF08000300,-0.7,0.8,0.3,
20/10/2020 17:36:11.719,27694,TAI_400 @B73477,22611,FDFF0D000400,-0.3,1.3,0.4,
20/10/2020 17:36:11.770,27745,TAI_400 @B73477,22617,FEFF07000400,-0.2,0.7,0.4,
20/10/2020 17:36:11.818,27793,TAI_400 @B73477,22623,F9FF0A000400,-0.7,1.0,0.4,
20/10/2020 17:36:11.866,27841,TAI_400 @B73477,22630,FEFF0B000400,-0.2,1.1,0.4,
20/10/2020 17:36:11.914,27889,TAI_400 @B73477,22636,FDFF07000400,-0.3,0.7,0.4,
20/10/2020 17:36:11.963,27938,TAI_400 @B73477,22642,F9FF0B000400,-0.7,1.1,0.4,
20/10/2020 17:36:12.011,27986,TAI_400 @B73477,22648,FFFF0B000400,-0.1,1.1,0.4,
20/10/2020 17:36:12.060,28035,TAI_400 @B73477,22655,FAFF07000300,-0.6,0.7,0.3,
20/10/2020 17:36:12.109,28084,TAI_400 @B73477,22661,FAFF0D000400,-0.6,1.3,0.4,
20/10/2020 17:36:12.158,28133,TAI_400 @B73477,22667,FEFF09000400,-0.2,0.9,0.4,
20/10/2020 17:36:12.206,28181,TAI_400 @B73477,22673,F9FF09000300,-0.7,0.9,0.3,
20/10/2020 17:36:12.255,28230,TAI_400 @B73477,22680,FCFF0D000400,-0.4,1.3,0.4,
20/10/2020 17:36:12.304,28279,TAI_400 @B73477,22686,FDFF08000400,-0.3,0.8,0.4,
20/10/2020 17:36:12.353,28328,TAI_400 @B73477,22692,F9FF09000300,-0.7,0.9,0.3,
20/10/2020 17:36:12.451,28426,TAI_400 @B73477,22698,FEFF0C000400,-0.2,1.2,0.4,
20/10/2020 17:36:12.499,28474,TAI_400 @B73477,22705,FCFF07000300,-0.4,0.7,0.3,
20/10/2020 17:36:12.548,28523,TAI_400 @B73477,22711,F9FF0B000400,-0.7,1.1,0.4,
20/10/2020 17:36:12.596,28571,TAI_400 @B73477,22717,FFFF0A000400,-0.1,1.0,0.4,
20/10/2020 17:36:12.645,28620,TAI_400 @B73477,22723,FBFF07000300,-0.5,0.7,0.3,
20/10/2020 17:36:12.694,28669,TAI_400 @B73477,22730,FBFF0C000400,-0.5,1.2,0.4,
20/10/2020 17:36:12.743,28718,TAI_400 @B73477,22736,FFFF09000500,-0.1,0.9,0.5,
20/10/2020 17:36:12.792,28767,TAI_400 @B73477,22742,F9FF09000400,-0.7,0.9,0.4,
20/10/2020 17:36:12.842,28817,TAI_400 @B73477,22748,FCFF0C000400,-0.4,1.2,0.4,
20/10/2020 17:36:12.889,28864,TAI_400 @B73477,22755,FEFF09000400,-0.2,0.9,0.4,
20/10/2020 17:36:12.938,28913,TAI_400 @B73477,22761,F8FF0A000400,-0.8,1.0,0.4,
20/10/2020 17:36:12.986,28961,TAI_400 @B73477,22767,FDFF0C000400,-0.3,1.2,0.4,
20/10/2020 17:36:13.035,29010,TAI_400 @B73477,22773,FDFF07000400,-0.3,0.7,0.4,
20/10/2020 17:36:13.085,29060,TAI_400 @B73477,22780,F9FF0A000400,-0.7,1.0,0.4,
20/10/2020 17:36:13.135,29110,TAI_400 @B73477,22786,FFFF0B000400,-0.1,1.1,0.4,
20/10/2020 17:36:13.181,29156,TAI_400 @B73477,22792,FCFF07000400,-0.4,0.7,0.4,
20/10/2020 17:36:13.230,29205,TAI_400 @B73477,22798,FAFF0B000400,-0.6,1.1,0.4,
20/10/2020 17:36:13.280,29255,TAI_400 @B73477,22805,FFFF09000400,-0.1,0.9,0.4,
20/10/2020 17:36:13.328,29303,TAI_400 @B73477,22811,FAFF07000400,-0.6,0.7,0.4,
20/10/2020 17:36:13.377,29352,TAI_400 @B73477,22817,FCFF0C000400,-0.4,1.2,0.4,
20/10/2020 17:36:13.426,29401,TAI_400 @B73477,22823,FFFF07000400,-0.1,0.7,0.4,
20/10/2020 17:36:13.474,29449,TAI_400 @B73477,22830,F9FF09000400,-0.7,0.9,0.4,
20/10/2020 17:36:13.523,29498,TAI_400 @B73477,22836,FDFF0C000400,-0.3,1.2,0.4,
20/10/2020 17:36:13.620,29595,TAI_400 @B73477,22842,FDFF08000400,-0.3,0.8,0.4,
20/10/2020 17:36:13.669,29644,TAI_400 @B73477,22848,F8FF0B000400,-0.8,1.1,0.4,
20/10/2020 17:36:13.719,29694,TAI_400 @B73477,22855,FEFF0B000400,-0.2,1.1,0.4,
20/10/2020 17:36:13.767,29742,TAI_400 @B73477,22861,FCFF08000400,-0.4,0.8,0.4,
20/10/2020 17:36:13.815,29790,TAI_400 @B73477,22867,F9FF0D000400,-0.7,1.3,0.4,
20/10/2020 17:36:13.864,29839,TAI_400 @B73477,22873,FFFF09000400,-0.1,0.9,0.4,
20/10/2020 17:36:13.913,29888,TAI_400 @B73477,22880,FAFF07000400,-0.6,0.7,0.4,
20/10/2020 17:36:13.961,29936,TAI_400 @B73477,22886,FAFF0C000400,-0.6,1.2,0.4,
20/10/2020 17:36:14.010,29985,TAI_400 @B73477,22892,FEFF07000400,-0.2,0.7,0.4,
20/10/2020 17:36:14.059,30034,TAI_400 @B73477,22898,F9FF09000300,-0.7,0.9,0.3,
20/10/2020 17:36:14.108,30083,TAI_400 @B73477,22905,FCFF0C000400,-0.4,1.2,0.4,
20/10/2020 17:36:14.156,30131,TAI_400 @B73477,22911,FEFF06000400,-0.2,0.6,0.4,
20/10/2020 17:36:14.205,30180,TAI_400 @B73477,22917,F9FF0B000300,-0.7,1.1,0.3,
20/10/2020 17:36:14.254,30229,TAI_400 @B73477,22923,FEFF0C000400,-0.2,1.2,0.4,
20/10/2020 17:36:14.303,30278,TAI_400 @B73477,22930,FDFF07000400,-0.3,0.7,0.4,
20/10/2020 17:36:14.352,30327,TAI_400 @B73477,22936,F9FF0C000400,-0.7,1.2,0.4,
20/10/2020 17:36:14.400,30375,TAI_400 @B73477,22942,FEFF0B000400,-0.2,1.1,0.4,
20/10/2020 17:36:14.450,30425,TAI_400 @B73477,22948,FBFF07000400,-0.5,0.7,0.4,
20/10/2020 17:36:14.497,30472,TAI_400 @B73477,22955,FAFF0D000400,-0.6,1.3,0.4,
20/10/2020 17:36:14.547,30522,TAI_400 @B73477,22961,FFFF09000400,-0.1,0.9,0.4,
20/10/2020 17:36:14.595,30570,TAI_400 @B73477,22967,F9FF08000300,-0.7,0.8,0.3,
20/10/2020 17:36:14.644,30619,TAI_400 @B73477,22973,FCFF0D000400,-0.4,1.3,0.4,
20/10/2020 17:36:14.741,30716,TAI_400 @B73477,22980,FEFF07000400,-0.2,0.7,0.4,
20/10/2020 17:36:14.791,30766,TAI_400 @B73477,22986,F9FF09000400,-0.7,0.9,0.4,
20/10/2020 17:36:14.839,30814,TAI_400 @B73477,22992,FEFF0C000400,-0.2,1.2,0.4,
20/10/2020 17:36:14.889,30864,TAI_400 @B73477,22998,FCFF07000300,-0.4,0.7,0.3,
20/10/2020 17:36:14.939,30914,TAI_400 @B73477,23005,F9FF0B000400,-0.7,1.1,0.4,
20/10/2020 17:36:14.985,30960,TAI_400 @B73477,23011,FEFF0B000400,-0.2,1.1,0.4,
20/10/2020 17:36:15.034,31009,TAI_400 @B73477,23017,FBFF07000300,-0.5,0.7,0.3,
20/10/2020 17:36:15.083,31058,TAI_400 @B73477,23023,F9FF0E000400,-0.7,1.4,0.4,
20/10/2020 17:36:15.131,31106,TAI_400 @B73477,23030,FEFF0A000400,-0.2,1.0,0.4,
20/10/2020 17:36:15.180,31155,TAI_400 @B73477,23036,F9FF08000300,-0.7,0.8,0.3,
20/10/2020 17:36:15.229,31204,TAI_400 @B73477,23042,FCFF0E000400,-0.4,1.4,0.4,
20/10/2020 17:36:15.277,31252,TAI_400 @B73477,23048,FEFF08000400,-0.2,0.8,0.4,
20/10/2020 17:36:15.326,31301,TAI_400 @B73477,23055,F9FF09000400,-0.7,0.9,0.4,
20/10/2020 17:36:15.375,31350,TAI_400 @B73477,23061,FEFF0B000400,-0.2,1.1,0.4,
20/10/2020 17:36:15.423,31398,TAI_400 @B73477,23067,FEFF07000400,-0.2,0.7,0.4,
20/10/2020 17:36:15.472,31447,TAI_400 @B73477,23073,F9FF0A000400,-0.7,1.0,0.4,
20/10/2020 17:36:15.521,31496,TAI_400 @B73477,23080,FEFF0C000400,-0.2,1.2,0.4,
20/10/2020 17:36:15.571,31546,TAI_400 @B73477,23086,FCFF07000300,-0.4,0.7,0.3,
20/10/2020 17:36:15.618,31593,TAI_400 @B73477,23092,F9FF0C000400,-0.7,1.2,0.4,
20/10/2020 10:33:54.781,4,TAI_400 @B73477,5632,FFFF09000400,-0.1,0.9,0.4,
20/10/2020 10:33:54.829,52,TAI_400 @B73477,5639,FAFF09000300,-0.6,0.9,0.3,
20/10/2020 10:33:54.878,101,TAI_400 @B73477,5645,FEFF0C000300,-0.2,1.2,0.3,
20/10/2020 10:33:54.926,149,TAI_400 @B73477,5651,FEFF08000300,-0.2,0.8,0.3,
20/10/2020 10:33:55.023,246,TAI_400 @B73477,5657,F9FF09000300,-0.7,0.9,0.3,
20/10/2020 10:33:55.073,296,TAI_400 @B73477,5664,FFFF0B000400,-0.1,1.1,0.4,
20/10/2020 10:33:55.122,345,TAI_400 @B73477,5670,FDFF07000200,-0.3,0.7,0.2,
20/10/2020 10:33:55.170,393,TAI_400 @B73477,5676,FAFF0B000300,-0.6,1.1,0.3,
20/10/2020 10:33:55.219,442,TAI_400 @B73477,5682,FFFF0A000400,-0.1,1.0,0.4,
20/10/2020 10:33:55.268,491,TAI_400 @B73477,5689,FBFF07000300,-0.5,0.7,0.3,
20/10/2020 10:33:55.316,539,TAI_400 @B73477,5695,FAFF0C000400,-0.6,1.2,0.4,
20/10/2020 10:33:55.365,588,TAI_400 @B73477,5701,FEFF09000400,-0.2,0.9,0.4,
20/10/2020 10:33:55.415,638,TAI_400 @B73477,5707,F9FF08000300,-0.7,0.8,0.3,
20/10/2020 10:33:55.462,685,TAI_400 @B73477,5714,FCFF0D000300,-0.4,1.3,0.3,
20/10/2020 10:33:55.511,734,TAI_400 @B73477,5720,FEFF08000300,-0.2,0.8,0.3,
20/10/2020 10:33:55.560,783,TAI_400 @B73477,5726,F9FF0A000200,-0.7,1.0,0.2,
20/10/2020 10:33:55.608,832,TAI_400 @B73477,5732,FEFF0C000400,-0.2,1.2,0.4,
20/10/2020 10:33:55.658,881,TAI_400 @B73477,5739,FEFF07000300,-0.2,0.7,0.3,
20/10/2020 10:33:55.706,929,TAI_400 @B73477,5745,FAFF0B000300,-0.6,1.1,0.3,
20/10/2020 10:33:55.755,978,TAI_400 @B73477,5751,FFFF0B000400,-0.1,1.1,0.4,
20/10/2020 10:33:55.803,1026,TAI_400 @B73477,5757,FCFF07000300,-0.4,0.7,0.3,
20/10/2020 10:33:55.852,1075,TAI_400 @B73477,5764,FAFF0B000400,-0.6,1.1,0.4,
20/10/2020 10:33:55.901,1124,TAI_400 @B73477,5770,FFFF09000400,-0.1,0.9,0.4,
20/10/2020 10:33:55.950,1173,TAI_400 @B73477,5776,FAFF08000200,-0.6,0.8,0.2,
20/10/2020 10:33:55.999,1222,TAI_400 @B73477,5782,FCFF0D000400,-0.4,1.3,0.4,
20/10/2020 10:33:56.048,1271,TAI_400 @B73477,5789,FEFF07000300,-0.2,0.7,0.3,
20/10/2020 10:33:56.145,1368,TAI_400 @B73477,5795,F9FF09000300,-0.7,0.9,0.3,
20/10/2020 10:33:56.194,1417,TAI_400 @B73477,5801,FDFF0D000400,-0.3,1.3,0.4,
20/10/2020 10:33:56.242,1465,TAI_400 @B73477,5807,FEFF07000300,-0.2,0.7,0.3,
20/10/2020 10:33:56.291,1514,TAI_400 @B73477,5814,F9FF0B000300,-0.7,1.1,0.3,
20/10/2020 10:33:56.340,1563,TAI_400 @B73477,5820,00000B000400,0.0,1.1,0.4,
20/10/2020 10:33:56.389,1612,TAI_400 @B73477,5826,FEFF06000300,-0.2,0.6,0.3,
20/10/2020 10:33:56.438,1661,TAI_400 @B73477,5832,FAFF0B000300,-0.6,1.1,0.3,
20/10/2020 10:33:56.487,1710,TAI_400 @B73477,5839,000009000400,0.0,0.9,0.4,
20/10/2020 10:33:56.535,1758,TAI_400 @B73477,5845,FBFF07000300,-0.5,0.7,0.3,
20/10/2020 10:33:56.584,1807,TAI_400 @B73477,5851,FAFF0D000400,-0.6,1.3,0.4,
20/10/2020 10:33:56.633,1856,TAI_400 @B73477,5857,000008000400,0.0,0.8,0.4,
20/10/2020 10:33:56.681,1904,TAI_400 @B73477,5864,FAFF08000200,-0.6,0.8,0.2,
20/10/2020 10:33:56.731,1954,TAI_400 @B73477,5870,FCFF0E000400,-0.4,1.4,0.4,
20/10/2020 10:33:56.778,2001,TAI_400 @B73477,5876,FEFF07000300,-0.2,0.7,0.3,
20/10/2020 10:33:56.827,2050,TAI_400 @B73477,5882,F9FF0A000300,-0.7,1.0,0.3,
20/10/2020 10:33:56.876,2099,TAI_400 @B73477,5889,FEFF0D000400,-0.2,1.3,0.4,
20/10/2020 10:33:56.925,2148,TAI_400 @B73477,5895,FEFF07000300,-0.2,0.7,0.3,
20/10/2020 10:33:56.974,2197,TAI_400 @B73477,5901,FAFF0B000300,-0.6,1.1,0.3,
20/10/2020 10:33:57.023,2246,TAI_400 @B73477,5907,00000A000400,0.0,1.0,0.4,
20/10/2020 10:33:57.072,2295,TAI_400 @B73477,5914,FCFF07000300,-0.4,0.7,0.3,
20/10/2020 10:33:57.120,2343,TAI_400 @B73477,5920,FBFF0D000400,-0.5,1.3,0.4,
20/10/2020 10:33:57.169,2392,TAI_400 @B73477,5926,000008000400,0.0,0.8,0.4,
20/10/2020 10:33:57.218,2441,TAI_400 @B73477,5932,FAFF07000300,-0.6,0.7,0.3,
20/10/2020 10:33:57.316,2539,TAI_400 @B73477,5939,FCFF0D000400,-0.4,1.3,0.4,
20/10/2020 10:33:57.363,2586,TAI_400 @B73477,5945,FEFF07000400,-0.2,0.7,0.4,
20/10/2020 10:33:57.413,2636,TAI_400 @B73477,5951,F9FF09000300,-0.7,0.9,0.3,
20/10/2020 10:33:57.462,2685,TAI_400 @B73477,5957,FDFF0D000400,-0.3,1.3,0.4,
20/10/2020 10:33:57.510,2733,TAI_400 @B73477,5964,FCFF07000400,-0.4,0.7,0.4,
20/10/2020 10:33:57.559,2782,TAI_400 @B73477,5970,F9FF0B000300,-0.7,1.1,0.3,
20/10/2020 10:33:57.608,2831,TAI_400 @B73477,5976,FEFF0B000400,-0.2,1.1,0.4,
20/10/2020 10:33:57.657,2880,TAI_400 @B73477,5982,FCFF07000300,-0.4,0.7,0.3,
20/10/2020 10:33:57.705,2928,TAI_400 @B73477,5989,FCFF0C000400,-0.4,1.2,0.4,
20/10/2020 10:33:57.754,2977,TAI_400 @B73477,5995,000009000400,0.0,0.9,0.4,
20/10/2020 10:33:57.803,3026,TAI_400 @B73477,6001,FBFF06000300,-0.5,0.6,0.3,
20/10/2020 10:33:57.852,3075,TAI_400 @B73477,6007,FCFF0D000300,-0.4,1.3,0.3,
20/10/2020 10:33:57.899,3122,TAI_400 @B73477,6014,FFFF08000400,-0.1,0.8,0.4,
20/10/2020 10:33:57.950,3173,TAI_400 @B73477,6020,FAFF08000300,-0.6,0.8,0.3,
20/10/2020 10:33:57.999,3222,TAI_400 @B73477,6026,FEFF0C000400,-0.2,1.2,0.4,
20/10/2020 10:33:58.046,3269,TAI_400 @B73477,6032,FDFF07000400,-0.3,0.7,0.4,
20/10/2020 10:33:58.096,3319,TAI_400 @B73477,6039,F9FF0A000300,-0.7,1.0,0.3,
20/10/2020 10:33:58.144,3367,TAI_400 @B73477,6045,FEFF0C000400,-0.2,1.2,0.4,
20/10/2020 10:33:58.193,3416,TAI_400 @B73477,6051,FCFF07000400,-0.4,0.7,0.4,
20/10/2020 10:33:58.242,3465,TAI_400 @B73477,6057,FAFF0B000300,-0.6,1.1,0.3,
20/10/2020 10:33:58.290,3513,TAI_400 @B73477,6064,FEFF0B000400,-0.2,1.1,0.4,
20/10/2020 10:33:58.339,3562,TAI_400 @B73477,6070,FAFF07000200,-0.6,0.7,0.2,
20/10/2020 10:33:58.387,3610,TAI_400 @B73477,6076,FCFF0D000400,-0.4,1.3,0.4,
20/10/2020 10:33:58.485,3708,TAI_400 @B73477,6082,FFFF09000400,-0.1,0.9,0.4,
20/10/2020 10:33:58.534,3757,TAI_400 @B73477,6089,FAFF07000300,-0.6,0.7,0.3,
20/10/2020 10:33:58.583,3806,TAI_400 @B73477,6095,FEFF0C000400,-0.2,1.2,0.4,
20/10/2020 10:33:58.633,3856,TAI_400 @B73477,6101,FEFF07000300,-0.2,0.7,0.3,
20/10/2020 10:33:58.681,3904,TAI_400 @B73477,6107,F9FF09000300,-0.7,0.9,0.3,
20/10/2020 10:33:58.729,3952,TAI_400 @B73477,6114,FFFF0B000400,-0.1,1.1,0.4,
20/10/2020 10:33:58.777,4000,TAI_400 @B73477,6120,FDFF07000300,-0.3,0.7,0.3,
20/10/2020 10:33:58.826,4049,TAI_400 @B73477,6126,F9FF0B000400,-0.7,1.1,0.4,
20/10/2020 10:33:58.875,4098,TAI_400 @B73477,6132,FEFF0B000400,-0.2,1.1,0.4,
20/10/2020 10:33:58.923,4146,TAI_400 @B73477,6139,FAFF07000300,-0.6,0.7,0.3,
20/10/2020 10:33:58.972,4195,TAI_400 @B73477,6145,FBFF0C000300,-0.5,1.2,0.3,
20/10/2020 10:33:59.021,4244,TAI_400 @B73477,6151,FFFF0A000400,-0.1,1.0,0.4,
20/10/2020 10:33:59.070,4293,TAI_400 @B73477,6157,F9FF09000300,-0.7,0.9,0.3,
20/10/2020 10:33:59.119,4342,TAI_400 @B73477,6164,FDFF0C000400,-0.3,1.2,0.4,
20/10/2020 10:33:59.168,4391,TAI_400 @B73477,6170,FEFF08000400,-0.2,0.8,0.4,
20/10/2020 10:33:59.217,4440,TAI_400 @B73477,6176,F9FF09000200,-0.7,0.9,0.2,
20/10/2020 10:33:59.267,4490,TAI_400 @B73477,6182,FEFF0B000400,-0.2,1.1,0.4,
20/10/2020 10:33:59.315,4538,TAI_400 @B73477,6189,FCFF07000400,-0.4,0.7,0.4,
20/10/2020 10:33:59.363,4586,TAI_400 @B73477,6195,F9FF0B000300,-0.7,1.1,0.3,
20/10/2020 10:33:59.412,4635,TAI_400 @B73477,6201,FFFF0A000400,-0.1,1.0,0.4,
20/10/2020 10:33:59.460,4683,TAI_400 @B73477,6207,FBFF07000300,-0.5,0.7,0.3,
20/10/2020 10:33:59.508,4731,TAI_400 @B73477,6214,FAFF0C000400,-0.6,1.2,0.4,
20/10/2020 10:33:59.606,4829,TAI_400 @B73477,6220,FEFF09000400,-0.2,0.9,0.4,
20/10/2020 10:33:59.655,4878,TAI_400 @B73477,6226,F9FF08000300,-0.7,0.8,0.3,
20/10/2020 10:33:59.704,4927,TAI_400 @B73477,6232,FCFF0D000400,-0.4,1.3,0.4,
20/10/2020 10:33:59.753,4976,TAI_400 @B73477,6239,FEFF09000400,-0.2,0.9,0.4,
20/10/2020 10:33:59.804,5027,TAI_400 @B73477,6245,F9FF09000300,-0.7,0.9,0.3,
20/10/2020 10:33:59.850,5073,TAI_400 @B73477,6251,FEFF0C000400,-0.2,1.2,0.4,
20/10/2020 10:33:59.900,5123,TAI_400 @B73477,6257,FEFF07000400,-0.2,0.7,0.4,
20/10/2020 10:33:59.948,5171,TAI_400 @B73477,6264,F9FF0B000300,-0.7,1.1,0.3,
20/10/2020 10:33:59.998,5221,TAI_400 @B73477,6270,FFFF0B000400,-0.1,1.1,0.4,
20/10/2020 10:34:00.044,5267,TAI_400 @B73477,6276,FCFF07000300,-0.4,0.7,0.3,
20/10/2020 10:34:00.093,5316,TAI_400 @B73477,6282,F9FF0B000400,-0.7,1.1,0.4,
20/10/2020 10:34:00.143,5366,TAI_400 @B73477,6289,FFFF09000400,-0.1,0.9,0.4,
20/10/2020 10:34:00.191,5414,TAI_400 @B73477,6295,FAFF07000300,-0.6,0.7,0.3,
20/10/2020 10:34:00.240,5463,TAI_400 @B73477,6301,FAFF0D000300,-0.6,1.3,0.3,
20/10/2020 10:34:00.289,5512,TAI_400 @B73477,6307,FFFF08000400,-0.1,0.8,0.4,
20/10/2020 10:34:00.337,5560,TAI_400 @B73477,6314,F9FF09000300,-0.7,0.9,0.3,
20/10/2020 10:34:00.385,5608,TAI_400 @B73477,6320,FCFF0D000400,-0.4,1.3,0.4,
20/10/2020 10:34:00.435,5658,TAI_400 @B73477,6326,FEFF07000400,-0.2,0.7,0.4,
20/10/2020 10:34:00.486,5709,TAI_400 @B73477,6332,F9FF0A000300,-0.7,1.0,0.3,
20/10/2020 10:34:00.532,5755,TAI_400 @B73477,6339,FFFF0C000400,-0.1,1.2,0.4,
20/10/2020 10:34:00.581,5804,TAI_400 @B73477,6345,FDFF06000300,-0.3,0.6,0.3,
20/10/2020 10:34:00.630,5853,TAI_400 @B73477,6351,FAFF0C000400,-0.6,1.2,0.4,
20/10/2020 10:34:00.729,5952,TAI_400 @B73477,6357,000009000400,0.0,0.9,0.4,
20/10/2020 10:34:00.776,5999,TAI_400 @B73477,6364,FCFF06000300,-0.4,0.6,0.3,
20/10/2020 10:34:00.825,6048,TAI_400 @B73477,6370,FBFF0D000400,-0.5,1.3,0.4,
20/10/2020 10:34:00.874,6097,TAI_400 @B73477,6376,FEFF08000300,-0.2,0.8,0.3,
20/10/2020 10:34:00.923,6146,TAI_400 @B73477,6382,F9FF08000300,-0.7,0.8,0.3,
20/10/2020 10:34:00.971,6194,TAI_400 @B73477,6389,FCFF0D000400,-0.4,1.3,0.4,
20/10/2020 10:34:01.019,6242,TAI_400 @B73477,6395,FEFF07000400,-0.2,0.7,0.4,
20/10/2020 10:34:01.068,6291,TAI_400 @B73477,6401,F8FF0A000300,-0.8,1.0,0.3,
20/10/2020 10:34:01.117,6340,TAI_400 @B73477,6407,FEFF0D000400,-0.2,1.3,0.4,
20/10/2020 10:34:01.166,6389,TAI_400 @B73477,6414,FDFF06000300,-0.3,0.6,0.3,
20/10/2020 10:34:01.215,6438,TAI_400 @B73477,6420,FAFF0B000400,-0.6,1.1,0.4,
20/10/2020 10:34:01.264,6487,TAI_400 @B73477,6426,FFFF0B000400,-0.1,1.1,0.4,
20/10/2020 10:34:01.313,6536,TAI_400 @B73477,6432,FCFF06000300,-0.4,0.6,0.3,
20/10/2020 10:34:01.361,6584,TAI_400 @B73477,6439,FBFF0C000300,-0.5,1.2,0.3,
20/10/2020 10:34:01.410,6633,TAI_400 @B73477,6445,000009000400,0.0,0.9,0.4,
20/10/2020 10:34:01.459,6682,TAI_400 @B73477,6451,FAFF07000300,-0.6,0.7,0.3,
20/10/2020 10:34:01.507,6730,TAI_400 @B73477,6457,FCFF0D000400,-0.4,1.3,0.4,
20/10/2020 10:34:01.556,6779,TAI_400 @B73477,6464,FEFF07000300,-0.2,0.7,0.3,
20/10/2020 10:34:01.605,6828,TAI_400 @B73477,6470,F9FF09000300,-0.7,0.9,0.3,
20/10/2020 10:34:01.653,6876,TAI_400 @B73477,6476,FDFF0E000300,-0.3,1.4,0.3,
20/10/2020 10:34:01.703,6926,TAI_400 @B73477,6482,FCFF07000400,-0.4,0.7,0.4,
20/10/2020 10:34:01.751,6974,TAI_400 @B73477,6489,F9FF0B000300,-0.7,1.1,0.3,
20/10/2020 10:34:01.800,7023,TAI_400 @B73477,6495,FEFF0C000400,-0.2,1.2,0.4,
20/10/2020 10:34:01.898,7121,TAI_400 @B73477,6501,FBFF07000300,-0.5,0.7,0.3,
20/10/2020 10:34:01.946,7169,TAI_400 @B73477,6507,FBFF0C000300,-0.5,1.2,0.3,
20/10/2020 10:34:01.995,7218,TAI_400 @B73477,6514,FFFF0A000400,-0.1,1.0,0.4,
20/10/2020 10:34:02.043,7266,TAI_400 @B73477,6520,FBFF07000300,-0.5,0.7,0.3,
20/10/2020 10:34:02.093,7316,TAI_400 @B73477,6526,FCFF0D000400,-0.4,1.3,0.4,
20/10/2020 10:34:02.142,7365,TAI_400 @B73477,6532,FFFF08000400,-0.1,0.8,0.4,
